"","L-asparagine","GDP-beta;-L-fucose","L-glutamine","L-isoleucine","(S)-malate","maltitol","maltose","GDP-alpha;-D-mannose","phosphate","uracil","L-valine"
"L-asparagine",0,0,1,1,0,0,0,0,0,0,1
"GDP-beta;-L-fucose",0,0,0,0,1,0,0,0,0,0,0
"L-glutamine",1,0,0,1,0,0,0,0,1,0,1
"L-isoleucine",1,0,1,0,0,0,0,0,1,0,1
"(S)-malate",0,1,0,0,0,0,0,0,0,0,0
"maltitol",0,0,0,0,0,0,0,0,0,0,0
"maltose",0,0,0,0,0,0,0,1,0,0,0
"GDP-alpha;-D-mannose",0,0,0,0,0,0,1,0,1,0,0
"phosphate",0,0,1,1,0,0,0,1,0,0,1
"uracil",0,0,0,0,0,0,0,0,0,0,0
"L-valine",1,0,1,1,0,0,0,0,1,0,0
