"","L-alanine","L-arginine","alpha;-tocopherol","fructose","GDP-beta;-L-fucose","UDP-alpha;-D-galacturonate","D-gluconate","D-threo-isocitrate","L-isoleucine","maltitol","maltose","shikimate"
"L-alanine",0,0,0,0,0,0,0,0,0,0,0,0
"L-arginine",0,0,0,0,0,1,0,0,1,0,0,0
"alpha;-tocopherol",0,0,0,1,0,0,0,0,0,0,1,1
"fructose",0,0,1,0,0,0,0,0,0,0,1,0
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,1,0,0,0,0,0,0,1,0,0,0
"D-gluconate",0,0,0,0,0,0,0,0,0,0,0,0
"D-threo-isocitrate",0,0,0,0,0,0,0,0,0,0,0,0
"L-isoleucine",0,1,0,0,0,1,0,0,0,0,0,0
"maltitol",0,0,0,0,0,0,0,0,0,0,0,0
"maltose",0,0,1,1,0,0,0,0,0,0,0,1
"shikimate",0,0,1,0,0,0,0,0,0,0,1,0
