"","alpha;-tocopherol","L-cysteine","fructose","glycine","D-threo-isocitrate","L-methionine","phosphate","L-serine","shikimate","threonate","alpha;,alpha;-trehalose","L-tryptophan","L-valine"
"alpha;-tocopherol",0,0,1,0,0,0,1,0,1,0,1,0,0
"L-cysteine",0,0,0,0,0,1,0,1,0,1,0,0,1
"fructose",1,0,0,0,0,0,0,0,0,0,1,1,0
"glycine",0,0,0,0,0,1,1,1,0,0,0,1,1
"D-threo-isocitrate",0,0,0,0,0,0,0,0,0,0,0,0,0
"L-methionine",0,1,0,1,0,0,1,1,0,1,0,1,1
"phosphate",1,0,0,1,0,1,0,1,0,0,1,0,1
"L-serine",0,1,0,1,0,1,1,0,0,1,0,0,1
"shikimate",1,0,0,0,0,0,0,0,0,0,0,0,0
"threonate",0,1,0,0,0,1,0,1,0,0,0,0,0
"alpha;,alpha;-trehalose",1,0,1,0,0,0,1,0,0,0,0,0,0
"L-tryptophan",0,0,1,1,0,1,0,0,0,0,0,0,1
"L-valine",0,1,0,1,0,1,1,1,0,0,0,1,0
