"","L-arginine","L-asparagine","L-aspartate","benzoate","fructose","glucose_6_phosphate","L-glutamate","glycerate_3_Phosphate","glycine","L-methionine","L-phenylalanine","phosphate","putrescine","threonate","uracil"
"L-arginine",0,1,0,0,0,0,0,0,1,1,1,1,0,0,0
"L-asparagine",1,0,1,0,1,0,0,0,1,1,1,0,0,0,0
"L-aspartate",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
"benzoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fructose",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-glutamate",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"glycerate_3_Phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycine",1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
"L-methionine",1,1,0,0,0,0,0,0,1,0,1,1,0,1,0
"L-phenylalanine",1,1,1,0,0,0,0,0,1,1,0,1,0,1,0
"phosphate",1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"threonate",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"uracil",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
