"","2-oxoglutarate","benzoate","L-cysteine","dehydroascorbate (bicyclic form)","UDP-alpha;-D-galacturonate","glycerate_3_Phosphate","glycerol","D-threo-isocitrate","L-leucine","L-lysine","maltose","L-phenylalanine","phosphate","L-serine","uracil"
"2-oxoglutarate",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"benzoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-cysteine",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"dehydroascorbate (bicyclic form)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycerate_3_Phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-threo-isocitrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-leucine",1,0,1,0,0,0,0,0,0,1,0,1,1,1,0
"L-lysine",0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
"maltose",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"L-phenylalanine",0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
"phosphate",0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
"L-serine",0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
"uracil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
