"","L-asparagine","L-aspartate","alpha;-tocopherol","erythritol","gaba","glucose","L-glutamine","glycerol","glycine","L-isoleucine","L-lysine","maltose","L-phenylalanine","phosphate","putrescine","L-tryptophan"
"L-asparagine",0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1
"L-aspartate",1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"alpha;-tocopherol",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"erythritol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gaba",0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0
"glucose",0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
"L-glutamine",1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"glycine",1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1
"L-isoleucine",1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
"L-lysine",1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1
"maltose",0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
"L-phenylalanine",1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
"phosphate",0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0
"putrescine",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"L-tryptophan",1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
