"","beta;-alanine","GDP-beta;-L-fucose","fumarate","UDP-alpha;-D-galacturonate","L-glutamine","D-threo-isocitrate","L-lysine","L-phenylalanine","shikimate","succinate","sucrose","threonate","L-tryptophan","L-tyrosine","uracil","L-valine"
"beta;-alanine",0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"fumarate",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"L-glutamine",1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
"D-threo-isocitrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-lysine",1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1
"L-phenylalanine",1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"succinate",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"sucrose",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"threonate",0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0
"L-tryptophan",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"L-tyrosine",1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1
"uracil",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"L-valine",1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0
