"","alpha;-tocopherol","benzoate","beta;-alanine","erythritol","GDP-beta;-L-fucose","fumarate","galactose","UDP-alpha;-D-galacturonate","D-gluconate","glucose_6_phosphate","inositol","L-isoleucine","maltitol","L-methionine","saccharate","L-serine","threonate"
"alpha;-tocopherol",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"benzoate",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"beta;-alanine",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"erythritol",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"GDP-beta;-L-fucose",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"galactose",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"D-gluconate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"inositol",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"L-isoleucine",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"maltitol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-methionine",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"saccharate",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"L-serine",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"threonate",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
