"","L-arginine","2-oxoglutarate","beta;-alanine","citrate","erythritol","fumarate","gaba","UDP-alpha;-D-galacturonate","glucose","L-glutamine","D-glycerate","glycerate_3_Phosphate","maltose","putrescine","saccharate","alpha;,alpha;-trehalose","L-tyrosine"
"L-arginine",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"2-oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"beta;-alanine",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
"citrate",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"erythritol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"fumarate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"gaba",0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0
"UDP-alpha;-D-galacturonate",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"glucose",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"L-glutamine",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"D-glycerate",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"glycerate_3_Phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maltose",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"putrescine",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"saccharate",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"alpha;,alpha;-trehalose",0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"L-tyrosine",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
