"","2-oxoglutarate","alpha;-tocopherol","erythritol","D-gluconate","glucose_6_phosphate","L-isoleucine","(S)-malate","maltitol","L-methionine","L-phenylalanine","phosphate","putrescine","saccharate","L-serine","threonate","alpha;,alpha;-trehalose","L-tryptophan","uracil"
"2-oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"erythritol",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"D-gluconate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-isoleucine",0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maltitol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-methionine",0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0
"L-phenylalanine",0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
"phosphate",0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"saccharate",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"L-serine",0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0
"threonate",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"alpha;,alpha;-trehalose",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"L-tryptophan",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"uracil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
