"","dehydroascorbate (bicyclic form)","fumarate","glucose_6_phosphate","glycine","L-isoleucine","putrescine","L-serine","L-valine","L-glutamine","GDP-alpha;-D-mannose"
"dehydroascorbate (bicyclic form)",0,0,0,0,0,0,0,0,0,1
"fumarate",0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",0,0,0,1,1,0,1,1,1,0
"glycine",0,0,1,0,1,0,1,1,1,0
"L-isoleucine",0,0,1,1,0,0,1,1,1,0
"putrescine",0,0,0,0,0,0,0,0,0,0
"L-serine",0,0,1,1,1,0,0,1,1,0
"L-valine",0,0,1,1,1,0,1,0,1,0
"L-glutamine",0,0,1,1,1,0,1,1,0,0
"GDP-alpha;-D-mannose",1,0,0,0,0,0,0,0,0,0
