"","glucose_6_phosphate","Glycerate_3_Phosphate","inositol","maltitol","maltose","sucrose","L-aspartate","fructose","glucose","L-glutamate","GDP-alpha;-D-mannose"
"glucose_6_phosphate",0,0,0,1,1,0,1,0,0,0,0
"Glycerate_3_Phosphate",0,0,0,0,0,1,0,0,0,0,0
"inositol",0,0,0,1,1,1,0,1,0,0,0
"maltitol",1,0,1,0,1,0,0,1,0,0,0
"maltose",1,0,1,1,0,1,0,1,0,0,0
"sucrose",0,1,1,0,1,0,0,0,0,0,0
"L-aspartate",1,0,0,0,0,0,0,0,0,1,0
"fructose",0,0,1,1,1,0,0,0,1,0,1
"glucose",0,0,0,0,0,0,0,1,0,0,1
"L-glutamate",0,0,0,0,0,0,1,0,0,0,0
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,1,1,0,0
