"","L-asparagine","benzoate","gaba","UDP-alpha;-D-galacturonate","glucose_6_phosphate","Glycerate_3_Phosphate","inositol","(S)-malate","shikimate","threonate","L-tryptophan","galactose"
"L-asparagine",0,1,1,0,1,0,0,0,0,1,1,0
"benzoate",1,0,1,1,1,0,0,0,0,0,0,0
"gaba",1,1,0,0,1,1,1,0,0,1,1,0
"UDP-alpha;-D-galacturonate",0,1,0,0,1,0,0,0,0,0,0,0
"glucose_6_phosphate",1,1,1,1,0,0,0,0,0,0,1,0
"Glycerate_3_Phosphate",0,0,1,0,0,0,0,0,0,0,0,0
"inositol",0,0,1,0,0,0,0,0,0,0,0,1
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0,0
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0
"threonate",1,0,1,0,0,0,0,0,0,0,1,1
"L-tryptophan",1,0,1,0,1,0,0,0,0,1,0,0
"galactose",0,0,0,0,0,0,1,0,0,1,0,0
