"","L-alanine","L-arginine","alpha;-tocopherol","benzoate","erythritol","gaba","glucose_6_phosphate","D-glycerate","inositol","L-leucine","L-threonine","glucose"
"L-alanine",0,0,0,0,1,0,1,0,0,0,0,0
"L-arginine",0,0,0,1,0,1,1,0,0,1,1,0
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,0
"benzoate",0,1,0,0,0,1,1,1,0,0,1,1
"erythritol",1,0,0,0,0,0,1,1,0,0,0,0
"gaba",0,1,0,1,0,0,1,0,1,1,1,0
"glucose_6_phosphate",1,1,0,1,1,1,0,0,0,0,1,0
"D-glycerate",0,0,0,1,1,0,0,0,1,0,0,0
"inositol",0,0,0,0,0,1,0,1,0,0,0,0
"L-leucine",0,1,0,0,0,1,0,0,0,0,1,0
"L-threonine",0,1,0,1,0,1,1,0,0,1,0,0
"glucose",0,0,0,1,0,0,0,0,0,0,0,0
