"","alpha;-tocopherol","gaba","D-glycerate","L-lysine","(S)-malate","putrescine","saccharate","shikimate","L-tryptophan","uracil","L-glutamate","D-threo-isocitrate","GDP-alpha;-D-mannose"
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,0,0
"gaba",0,0,0,1,0,0,0,0,1,0,1,0,0
"D-glycerate",0,0,0,0,0,0,0,0,0,1,0,1,0
"L-lysine",0,1,0,0,0,0,0,0,1,0,0,0,0
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0,0,0
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0
"saccharate",0,0,0,0,0,0,0,0,0,0,0,0,0
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0
"L-tryptophan",0,1,0,1,0,0,0,0,0,0,0,1,0
"uracil",0,0,1,0,0,0,0,0,0,0,0,0,0
"L-glutamate",0,1,0,0,0,0,0,0,0,0,0,0,0
"D-threo-isocitrate",0,0,1,0,0,0,0,0,1,0,0,0,0
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,0,0,0,0,0,0
