"","L-alanine","L-asparagine","benzoate","dehydroascorbate (bicyclic form)","glucose_6_phosphate","inositol","L-phenylalanine","L-serine","succinate","uracil","L-glutamate","D-threo-isocitrate","phosphate"
"L-alanine",0,0,0,0,1,0,1,0,1,0,0,0,0
"L-asparagine",0,0,1,1,1,0,1,1,0,1,1,1,1
"benzoate",0,1,0,1,1,0,0,1,1,1,0,0,0
"dehydroascorbate (bicyclic form)",0,1,1,0,0,1,0,0,0,0,0,0,0
"glucose_6_phosphate",1,1,1,0,0,0,1,1,0,1,0,0,1
"inositol",0,0,0,1,0,0,0,0,1,1,0,0,0
"L-phenylalanine",1,1,0,0,1,0,0,1,0,0,1,1,1
"L-serine",0,1,1,0,1,0,1,0,0,0,0,0,1
"succinate",1,0,1,0,0,1,0,0,0,1,0,0,0
"uracil",0,1,1,0,1,1,0,0,1,0,0,0,0
"L-glutamate",0,1,0,0,0,0,1,0,0,0,0,0,1
"D-threo-isocitrate",0,1,0,0,0,0,1,0,0,0,0,0,0
"phosphate",0,1,0,0,1,0,1,1,0,0,1,0,0
