"","alpha;-tocopherol","dehydroascorbate (bicyclic form)","fumarate","UDP-alpha;-D-galacturonate","D-gluconate","(S)-malate","L-serine","sucrose","L-tyrosine","L-valine","glucose","L-glutamate","D-threo-isocitrate","phosphate"
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dehydroascorbate (bicyclic form)",0,0,0,0,0,0,0,1,1,0,1,0,0,0
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,1,0,0,1,0,0,0,0,0,0
"D-gluconate",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-serine",0,0,0,0,0,0,0,1,1,1,0,0,0,1
"sucrose",0,1,0,1,0,0,1,0,0,0,0,0,1,0
"L-tyrosine",0,1,0,0,0,0,1,0,0,1,0,0,0,0
"L-valine",0,0,0,0,0,0,1,0,1,0,0,0,0,1
"glucose",0,1,0,0,0,0,0,0,0,0,0,0,1,0
"L-glutamate",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"D-threo-isocitrate",0,0,0,0,0,0,0,1,0,0,1,0,0,0
"phosphate",0,0,0,0,0,0,1,0,0,1,0,1,0,0
