"","2-oxoglutarate","benzoate","L-cysteine","dehydroascorbate (bicyclic form)","UDP-alpha;-D-galacturonate","Glycerate_3_Phosphate","glycerol","L-leucine","L-lysine","maltose","L-phenylalanine","L-serine","uracil","D-threo-isocitrate","phosphate"
"2-oxoglutarate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"benzoate",0,0,0,1,1,0,1,0,1,0,0,1,1,0,0
"L-cysteine",0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
"dehydroascorbate (bicyclic form)",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Glycerate_3_Phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"glycerol",0,1,0,1,0,0,0,1,1,0,0,1,1,0,0
"L-leucine",0,0,1,0,0,0,1,0,1,0,1,1,0,0,1
"L-lysine",0,1,1,1,0,0,1,1,0,0,1,1,0,0,1
"maltose",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"L-phenylalanine",1,0,1,0,0,0,0,1,1,0,0,1,0,1,1
"L-serine",0,1,1,0,0,0,1,1,1,0,1,0,0,0,1
"uracil",0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"D-threo-isocitrate",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"phosphate",1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
