"","L-asparagine","2-oxoglutarate","alpha;-tocopherol","GDP-beta;-L-fucose","gaba","UDP-alpha;-D-galacturonate","D-gluconate","Glycerate_3_Phosphate","glycerol","maltitol","L-methionine","L-serine","shikimate","succinate","L-tyrosine","galactose"
"L-asparagine",0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0
"2-oxoglutarate",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gaba",1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"D-gluconate",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Glycerate_3_Phosphate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"glycerol",1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
"maltitol",0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
"L-methionine",1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
"L-serine",1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
"shikimate",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"succinate",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
"L-tyrosine",1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
"galactose",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
