"","L-asparagine","benzoate","erythritol","GDP-beta;-L-fucose","fumarate","glucose_6_phosphate","glycerol","inositol","L-isoleucine","L-lysine","L-phenylalanine","threonate","L-tryptophan","L-tyrosine","L-aspartate","L-glutamate","GDP-alpha;-D-mannose","phosphate"
"L-asparagine",0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
"benzoate",1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
"erythritol",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fumarate",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1
"glycerol",1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
"inositol",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"L-isoleucine",1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1
"L-lysine",1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1
"L-phenylalanine",1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1
"threonate",1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
"L-tryptophan",1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1
"L-tyrosine",1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0
"L-aspartate",1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
"L-glutamate",1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"phosphate",1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0
