"","L-alanine","2-oxoglutarate","beta;-alanine","fumarate","glucose_6_phosphate","inositol","L-leucine","maltose","sucrose","galactose","L-glutamate"
"L-alanine",0,1,0,0,1,0,0,0,0,0,0
"2-oxoglutarate",1,0,0,0,1,0,0,0,0,0,1
"beta;-alanine",0,0,0,0,1,0,1,0,1,0,1
"fumarate",0,0,0,0,0,0,1,0,0,0,0
"glucose_6_phosphate",1,1,1,0,0,0,0,1,0,0,0
"inositol",0,0,0,0,0,0,0,1,1,1,0
"L-leucine",0,0,1,1,0,0,0,0,0,0,0
"maltose",0,0,0,0,1,1,0,0,1,0,0
"sucrose",0,0,1,0,0,1,0,1,0,0,0
"galactose",0,0,0,0,0,1,0,0,0,0,0
"L-glutamate",0,1,1,0,0,0,0,0,0,0,0
