"","L-arginine","beta;-alanine","GDP-beta;-L-fucose","Glycerate_3_Phosphate","inositol","L-methionine","L-phenylalanine","succinate","threonate","uracil","galactose","glucose"
"L-arginine",0,1,0,0,0,1,1,0,1,0,0,0
"beta;-alanine",1,0,0,1,0,1,1,0,1,0,0,0
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0
"Glycerate_3_Phosphate",0,1,0,0,0,0,0,0,0,0,0,0
"inositol",0,0,0,0,0,0,0,1,0,1,1,0
"L-methionine",1,1,0,0,0,0,1,0,1,0,0,0
"L-phenylalanine",1,1,0,0,0,1,0,0,1,0,0,0
"succinate",0,0,0,0,1,0,0,0,1,1,1,0
"threonate",1,1,0,0,0,1,1,1,0,0,1,0
"uracil",0,0,0,0,1,0,0,1,0,0,1,0
"galactose",0,0,0,0,1,0,0,1,1,1,0,0
"glucose",0,0,0,0,0,0,0,0,0,0,0,0
