"","L-arginine","2-oxoglutarate","dehydroascorbate (bicyclic form)","GDP-beta;-L-fucose","fumarate","UDP-alpha;-D-galacturonate","inositol","L-isoleucine","L-lysine","L-methionine","succinate","sucrose","alpha;,alpha;-trehalose","L-aspartate","fructose","galactose"
"L-arginine",0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0
"2-oxoglutarate",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"dehydroascorbate (bicyclic form)",1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fumarate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"inositol",0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
"L-isoleucine",1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
"L-lysine",1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"L-methionine",1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"succinate",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"sucrose",0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-aspartate",1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"fructose",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"galactose",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
