"","benzoate","beta;-alanine","L-cysteine","GDP-beta;-L-fucose","glucose_6_phosphate","glycine","inositol","L-leucine","maltitol","saccharate","L-serine","L-valine","citrate","glucose","L-glutamate","GDP-alpha;-D-mannose","phosphate"
"benzoate",0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
"beta;-alanine",1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1
"L-cysteine",0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
"glycine",1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1
"inositol",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"L-leucine",0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"maltitol",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"saccharate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-serine",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
"L-valine",1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1
"citrate",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"glucose",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"L-glutamate",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"phosphate",0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0
