"","L-arginine","2-oxoglutarate","beta;-alanine","erythritol","fumarate","gaba","UDP-alpha;-D-galacturonate","D-glycerate","Glycerate_3_Phosphate","maltose","putrescine","saccharate","alpha;,alpha;-trehalose","L-tyrosine","citrate","glucose","L-glutamine"
"L-arginine",0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"2-oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"beta;-alanine",1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
"erythritol",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gaba",1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
"UDP-alpha;-D-galacturonate",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"D-glycerate",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
"Glycerate_3_Phosphate",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"maltose",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"saccharate",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"L-tyrosine",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"citrate",1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
"glucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-glutamine",1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0
