"","L-alanine","benzoate","beta;-alanine","GDP-beta;-L-fucose","fumarate","Glycerate_3_Phosphate","glycine","L-isoleucine","(S)-malate","maltose","L-methionine","putrescine","L-threonine","L-tyrosine","L-aspartate","L-glutamate","phosphate"
"L-alanine",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"benzoate",0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0
"beta;-alanine",0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glycerate_3_Phosphate",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"glycine",1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1
"L-isoleucine",1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maltose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-methionine",1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"L-threonine",0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1
"L-tyrosine",0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
"L-aspartate",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"L-glutamate",0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"phosphate",0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0
