"","L-alanine","benzoate","gaba","dehydroascorbate (bicyclic form)","erythritol","D-glycerate","L-lysine","maltose","threonate","L-tyrosine","L-valine"
"L-alanine",0,0,0,0,0,0,0,0,0,0,0
"benzoate",0,0,0,0,0,0,0,0,0,0,0
"gaba",0,0,0,0,0,0,0,0,1,1,1
"dehydroascorbate (bicyclic form)",0,0,0,0,0,0,0,0,0,0,0
"erythritol",0,0,0,0,0,1,0,0,0,0,0
"D-glycerate",0,0,0,0,1,0,0,0,0,0,0
"L-lysine",0,0,0,0,0,0,0,0,0,1,1
"maltose",0,0,0,0,0,0,0,0,0,0,0
"threonate",0,0,1,0,0,0,0,0,0,1,0
"L-tyrosine",0,0,1,0,0,0,1,0,1,0,1
"L-valine",0,0,1,0,0,0,1,0,0,1,0
