"","L-arginine","beta;-alanine","GDP-beta;-L-fucose","galactose","glucose","glycerate_3_phosphate","inositol","L-methionine","L-phenylalanine","succinate","threonate","uracil"
"L-arginine",0,0,0,0,0,0,0,0,0,0,0,0
"beta;-alanine",0,0,0,0,0,0,0,0,0,0,0,1
"GDP-beta;-L-fucose",0,0,0,0,0,1,0,0,1,0,1,0
"galactose",0,0,0,0,1,0,1,0,1,0,0,0
"glucose",0,0,0,1,0,0,1,0,0,0,1,0
"glycerate_3_phosphate",0,0,1,0,0,0,0,0,1,0,0,0
"inositol",0,0,0,1,1,0,0,1,1,0,1,0
"L-methionine",0,0,0,0,0,0,1,0,1,0,1,0
"L-phenylalanine",0,0,1,1,0,1,1,1,0,0,1,0
"succinate",0,0,0,0,0,0,0,0,0,0,0,0
"threonate",0,0,1,0,1,0,1,1,1,0,0,0
"uracil",0,1,0,0,0,0,0,0,0,0,0,0
