"","L-asparagine","benzoate","gaba","galactose","UDP-alpha;-D-galacturonate","glucose_6_phosphate","glycerate_3_phosphate","inositol","(S)-malate","shikimate","threonate","L-tryptophan"
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0
"benzoate",0,0,0,0,0,0,0,0,0,0,0,0
"gaba",0,0,0,0,0,0,0,0,0,0,1,0
"galactose",0,0,0,0,0,0,0,1,0,0,0,1
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,0,0
"glycerate_3_phosphate",0,0,0,0,0,0,0,0,0,0,0,0
"inositol",0,0,0,1,0,0,0,0,0,0,1,1
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0,0
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0
"threonate",0,0,1,0,0,0,0,1,0,0,0,0
"L-tryptophan",0,0,0,1,0,0,0,1,0,0,0,0
