"","L-alanine","L-arginine","alpha;-tocopherol","benzoate","gaba","erythritol","glucose","glucose_6_phosphate","D-glycerate","inositol","L-leucine","L-threonine"
"L-alanine",0,0,0,0,0,0,0,0,0,0,0,0
"L-arginine",0,0,0,0,0,0,0,0,0,0,0,0
"alpha;-tocopherol",0,0,0,1,0,1,0,0,0,1,0,0
"benzoate",0,0,1,0,0,0,0,0,0,0,0,0
"gaba",0,0,0,0,0,0,1,0,0,0,1,1
"erythritol",0,0,1,0,0,0,0,0,1,0,0,0
"glucose",0,0,0,0,1,0,0,0,0,1,1,1
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,0,0
"D-glycerate",0,0,0,0,0,1,0,0,0,0,0,0
"inositol",0,0,1,0,0,0,1,0,0,0,1,1
"L-leucine",0,0,0,0,1,0,1,0,0,1,0,1
"L-threonine",0,0,0,0,1,0,1,0,0,1,1,0
