"","L-cysteine","GDP-beta;-L-fucose","glucose_6_phosphate","glycerate_3_phosphate","L-isoleucine","maltitol","phosphate","putrescine","saccharate","L-serine","succinate","L-tryptophan","L-valine"
"L-cysteine",0,0,0,0,0,0,0,0,0,0,1,0,1
"GDP-beta;-L-fucose",0,0,0,1,0,0,0,0,1,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0
"glycerate_3_phosphate",0,1,0,0,0,0,1,0,1,0,0,0,0
"L-isoleucine",0,0,0,0,0,0,1,0,0,1,0,0,1
"maltitol",0,0,0,0,0,0,0,0,0,0,1,0,0
"phosphate",0,0,0,1,1,0,0,0,1,1,0,0,1
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0
"saccharate",0,1,0,1,0,0,1,0,0,0,0,0,0
"L-serine",0,0,0,0,1,0,1,0,0,0,0,0,1
"succinate",1,0,0,0,0,1,0,0,0,0,0,0,0
"L-tryptophan",0,0,0,0,0,0,0,0,0,0,0,0,0
"L-valine",1,0,0,0,1,0,1,0,0,1,0,0,0
