"","alpha;-tocopherol","beta;-alanine","dehydroascorbate (bicyclic form)","fructose","L-glutamine","2-oxoglutarate","L-leucine","maltose","GDP-alpha;-D-mannose","L-methionine","phosphate","L-threonine","alpha;,alpha;-trehalose","uracil"
"alpha;-tocopherol",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"beta;-alanine",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"dehydroascorbate (bicyclic form)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fructose",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"L-glutamine",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-oxoglutarate",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"L-leucine",0,1,0,1,0,0,0,0,0,1,1,1,0,0
"maltose",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"GDP-alpha;-D-mannose",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"L-methionine",0,0,0,0,0,0,1,0,0,0,1,1,0,0
"phosphate",0,0,0,0,0,1,1,0,0,1,0,1,0,0
"L-threonine",0,0,0,0,0,0,1,0,0,1,1,0,0,0
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"uracil",0,1,0,0,0,0,0,0,0,0,0,0,0,0
