"","L-arginine","L-aspartate","beta;-alanine","fructose","fumarate","glucose","L-glutamine","inositol","L-isoleucine","maltose","GDP-alpha;-D-mannose","L-methionine","L-phenylalanine","L-serine"
"L-arginine",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-aspartate",0,0,0,0,0,0,0,1,0,0,0,0,1,0
"beta;-alanine",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"fructose",0,0,0,0,0,1,0,1,1,0,1,0,1,1
"fumarate",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"glucose",0,0,0,1,0,0,0,1,1,0,1,0,0,0
"L-glutamine",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inositol",0,1,0,1,1,1,0,0,0,0,1,1,1,1
"L-isoleucine",0,0,1,1,0,1,0,0,0,0,1,1,1,1
"maltose",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP-alpha;-D-mannose",0,0,0,1,0,1,0,1,1,0,0,0,0,0
"L-methionine",0,0,0,0,0,0,0,1,1,0,0,0,1,1
"L-phenylalanine",0,1,0,1,0,0,0,1,1,0,0,1,0,1
"L-serine",0,0,1,1,0,0,0,1,1,0,0,1,1,0
