"","L-asparagine","L-cysteine","fructose","glucose_6_phosphate","glycerate_3_phosphate","glycine","D-threo-isocitrate","L-isoleucine","maltose","L-methionine","phosphate","putrescine","sucrose","threonate","L-threonine"
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-cysteine",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"fructose",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"glycerate_3_phosphate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"glycine",0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
"D-threo-isocitrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"L-isoleucine",0,0,1,0,0,1,0,0,0,1,1,0,0,0,1
"maltose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-methionine",0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
"phosphate",0,0,0,0,1,1,0,1,0,1,0,0,0,1,1
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sucrose",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"threonate",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"L-threonine",0,1,0,0,0,1,1,1,0,1,1,0,0,1,0
