"","benzoate","L-cysteine","dehydroascorbate (bicyclic form)","UDP-alpha;-D-galacturonate","2-oxoglutarate","glycerate_3_phosphate","glycerol","D-threo-isocitrate","L-leucine","L-lysine","maltose","L-phenylalanine","phosphate","L-serine","uracil"
"benzoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-cysteine",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"dehydroascorbate (bicyclic form)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2-oxoglutarate",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"glycerate_3_phosphate",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-threo-isocitrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-leucine",0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
"L-lysine",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"maltose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-phenylalanine",0,1,0,0,0,1,0,0,1,1,0,0,1,1,0
"phosphate",0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
"L-serine",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"uracil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
