"","beta;-alanine","erythritol","D-gluconate","glucose","glucose_6_phosphate","2-oxoglutarate","glycerate_3_phosphate","D-threo-isocitrate","L-leucine","GDP-alpha;-D-mannose","L-methionine","phosphate","saccharate","L-serine","uracil"
"beta;-alanine",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"erythritol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-gluconate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glucose",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2-oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"glycerate_3_phosphate",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"D-threo-isocitrate",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"L-leucine",1,0,0,1,0,0,1,0,0,0,1,1,1,1,0
"GDP-alpha;-D-mannose",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"L-methionine",0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"phosphate",0,0,0,0,0,1,1,0,1,0,1,0,1,1,0
"saccharate",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"L-serine",1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"uracil",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
