"","L-arginine","L-aspartate","dehydroascorbate (bicyclic form)","fructose","GDP-beta;-L-fucose","fumarate","galactose","UDP-alpha;-D-galacturonate","2-oxoglutarate","inositol","L-isoleucine","L-lysine","L-methionine","succinate","sucrose","alpha;,alpha;-trehalose"
"L-arginine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-aspartate",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"dehydroascorbate (bicyclic form)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fructose",0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
"GDP-beta;-L-fucose",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fumarate",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"galactose",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2-oxoglutarate",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"inositol",0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0
"L-isoleucine",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"L-lysine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-methionine",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"succinate",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"sucrose",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
