"","benzoate","beta;-alanine","citrate","L-cysteine","GDP-beta;-L-fucose","glucose","glucose_6_phosphate","L-glutamate","glycine","inositol","L-leucine","maltitol","GDP-alpha;-D-mannose","phosphate","saccharate","L-serine","L-valine"
"benzoate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"beta;-alanine",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"citrate",0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1
"L-cysteine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GDP-beta;-L-fucose",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"glucose",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-glutamate",0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
"glycine",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
"inositol",0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1
"L-leucine",0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1
"maltitol",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"GDP-alpha;-D-mannose",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"phosphate",0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
"saccharate",0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"L-serine",0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1
"L-valine",0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0
