"","L-arginine","L-asparagine","L-aspartate","alpha;-tocopherol","gaba","citrate","fructose","fumarate","D-gluconate","glucose_6_phosphate","glycerol","glycine","(S)-malate","GDP-alpha;-D-mannose","phosphate","L-serine","uracil"
"L-arginine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-aspartate",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gaba",0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0
"citrate",0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0
"fructose",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-gluconate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycine",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"(S)-malate",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GDP-alpha;-D-mannose",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"phosphate",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"L-serine",0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"uracil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
