"","L-arginine","gaba","beta;-alanine","citrate","erythritol","fumarate","UDP-alpha;-D-galacturonate","glucose","L-glutamine","2-oxoglutarate","D-glycerate","glycerate_3_phosphate","maltose","putrescine","saccharate","alpha;,alpha;-trehalose","L-tyrosine"
"L-arginine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gaba",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
"beta;-alanine",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"citrate",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"erythritol",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"glucose",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-glutamine",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2-oxoglutarate",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D-glycerate",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"glycerate_3_phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"maltose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"saccharate",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"L-tyrosine",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
