"","L-alanine","L-aspartate","benzoate","beta;-alanine","GDP-beta;-L-fucose","fumarate","L-glutamate","glycerate_3_phosphate","glycine","L-isoleucine","(S)-malate","maltose","L-methionine","phosphate","putrescine","L-threonine","L-tyrosine"
"L-alanine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-aspartate",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
"benzoate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"beta;-alanine",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GDP-beta;-L-fucose",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-glutamate",0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
"glycerate_3_phosphate",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
"glycine",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
"L-isoleucine",0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maltose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-methionine",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
"phosphate",0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-threonine",0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1
"L-tyrosine",0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
