"","alpha;-tocopherol","gaba","L-glutamate","D-glycerate","D-threo-isocitrate","L-lysine","(S)-malate","GDP-alpha;-D-mannose","putrescine","saccharate","shikimate","L-tryptophan","uracil"
"alpha;-tocopherol",0,0,1,0,0,0,0,0,0,1,0,0,0
"gaba",0,0,0,0,1,0,0,1,0,0,0,0,0
"L-glutamate",1,0,0,0,0,1,0,0,0,1,0,0,0
"D-glycerate",0,0,0,0,0,0,0,0,0,0,0,0,0
"D-threo-isocitrate",0,1,0,0,0,0,0,1,0,0,0,0,0
"L-lysine",0,0,1,0,0,0,0,0,0,1,0,0,0
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP-alpha;-D-mannose",0,1,0,0,1,0,0,0,0,0,0,1,0
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0
"saccharate",1,0,1,0,0,1,0,0,0,0,0,0,0
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0
"L-tryptophan",0,0,0,0,0,0,0,1,0,0,0,0,0
"uracil",0,0,0,0,0,0,0,0,0,0,0,0,0
