"","L-asparagine","L-aspartate","alpha;-tocopherol","gaba","fructose","fumarate","D-threo-isocitrate","L-isoleucine","L-leucine","maltitol","L-methionine","putrescine","sucrose"
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0,0
"L-aspartate",0,0,0,1,0,0,0,0,0,0,0,0,0
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,0,0
"gaba",0,1,0,0,1,0,1,1,1,0,1,0,0
"fructose",0,0,0,1,0,0,0,1,1,1,0,0,1
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0
"D-threo-isocitrate",0,0,0,1,0,0,0,0,0,0,0,0,0
"L-isoleucine",0,0,0,1,1,0,0,0,1,0,1,0,0
"L-leucine",0,0,0,1,1,0,0,1,0,0,1,0,0
"maltitol",0,0,0,0,1,0,0,0,0,0,0,0,0
"L-methionine",0,0,0,1,0,0,0,1,1,0,0,0,0
"putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0
"sucrose",0,0,0,0,1,0,0,0,0,0,0,0,0
