"","L-asparagine","alpha;-tocopherol","gaba","GDP-beta;-L-fucose","galactose","UDP-alpha;-D-galacturonate","D-gluconate","2-oxoglutarate","glycerate_3_phosphate","glycerol","maltitol","L-methionine","L-serine","shikimate","succinate","L-tyrosine"
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alpha;-tocopherol",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"gaba",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
"GDP-beta;-L-fucose",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"galactose",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"D-gluconate",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-oxoglutarate",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"glycerate_3_phosphate",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maltitol",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"L-methionine",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"L-serine",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"succinate",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"L-tyrosine",0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
