"","L-alanine","L-asparagine","erythritol","fructose","GDP-beta;-L-fucose","D-gluconate","glucose_6_phosphate","glycerol","glycine","maltose","GDP-alpha;-D-mannose","L-methionine","L-phenylalanine","phosphate","shikimate","succinate","L-tryptophan","uracil"
"L-alanine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"erythritol",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"fructose",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"GDP-beta;-L-fucose",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"D-gluconate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycine",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"maltose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP-alpha;-D-mannose",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"L-methionine",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
"L-phenylalanine",0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"phosphate",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"succinate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-tryptophan",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"uracil",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
