"","L-alanine","L-arginine","alpha;-tocopherol","benzoate","erythritol","gaba","glucose","glucose_6_phosphate","D-glycerate","inositol","L-leucine","L-threonine"
"L-alanine",0,0,0,0,1,0,0,1,0,0,0,1
"L-arginine",0,0,0,0,0,0,0,0,0,0,1,1
"alpha;-tocopherol",0,0,0,0,0,0,1,0,0,0,0,0
"benzoate",0,0,0,0,0,1,0,0,0,0,0,1
"erythritol",1,0,0,0,0,0,0,1,0,0,0,0
"gaba",0,0,0,1,0,0,1,0,0,0,0,1
"glucose",0,0,1,0,0,1,0,0,0,0,0,0
"glucose_6_phosphate",1,0,0,0,1,0,0,0,0,0,0,0
"D-glycerate",0,0,0,0,0,0,0,0,0,0,0,0
"inositol",0,0,0,0,0,0,0,0,0,0,0,0
"L-leucine",0,1,0,0,0,0,0,0,0,0,0,1
"L-threonine",1,1,0,1,0,1,0,0,0,0,1,0
