"","benzoate","citrate","dehydroascorbate (bicyclic form)","erythritol","GDP-beta;-L-fucose","glycine","L-isoleucine","L-leucine","L-lysine","L-threonine","alpha;,alpha;-trehalose","L-valine"
"benzoate",0,0,0,0,1,0,0,0,0,1,1,0
"citrate",0,0,0,0,0,0,0,0,0,0,0,0
"dehydroascorbate (bicyclic form)",0,0,0,0,0,0,0,0,0,0,1,0
"erythritol",0,0,0,0,0,0,0,0,0,0,0,0
"GDP-beta;-L-fucose",1,0,0,0,0,0,0,0,0,0,0,0
"glycine",0,0,0,0,0,0,1,1,1,1,0,1
"L-isoleucine",0,0,0,0,0,1,0,1,1,1,0,1
"L-leucine",0,0,0,0,0,1,1,0,1,1,0,1
"L-lysine",0,0,0,0,0,1,1,1,0,1,0,1
"L-threonine",1,0,0,0,0,1,1,1,1,0,0,1
"alpha;,alpha;-trehalose",1,0,1,0,0,0,0,0,0,0,0,0
"L-valine",0,0,0,0,0,1,1,1,1,1,0,0
