"","L-asparagine","2-oxoglutarate","alpha;-tocopherol","GDP-beta;-L-fucose","gaba","galactose","UDP-alpha;-D-galacturonate","D-gluconate","glycerate_3_Phosphate","glycerol","maltitol","L-methionine","L-serine","shikimate","succinate","L-tyrosine"
"L-asparagine",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"2-oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"alpha;-tocopherol",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gaba",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"galactose",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-gluconate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycerate_3_Phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycerol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maltitol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-methionine",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"L-serine",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"shikimate",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"succinate",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"L-tyrosine",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
