"","L-asparagine","GDP-beta;-L-fucose","L-isoleucine","(S)-malate","maltitol","maltose","uracil","L-valine","L-glutamine","GDP-alpha;-D-mannose","phosphate"
"L-asparagine",0,0,1,0,0,0,1,1,1,0,1
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0
"L-isoleucine",1,0,0,0,0,0,0,1,1,0,1
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0
"maltitol",0,0,0,0,0,1,1,0,0,0,0
"maltose",0,0,0,0,1,0,1,0,0,0,0
"uracil",1,0,0,0,1,1,0,1,0,0,0
"L-valine",1,0,1,0,0,0,1,0,1,0,1
"L-glutamine",1,0,1,0,0,0,0,1,0,0,1
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,0,0,0,1
"phosphate",1,0,1,0,0,0,0,1,1,1,0
