"","L-alanine","benzoate","GDP-beta;-L-fucose","glucose_6_phosphate","L-leucine","L-lysine","(S)-malate","shikimate","threonate","alpha;,alpha;-trehalose","citrate"
"L-alanine",0,0,0,1,0,0,0,0,0,0,0
"benzoate",0,0,0,1,0,1,0,0,0,0,0
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0
"glucose_6_phosphate",1,1,0,0,0,1,0,0,0,0,0
"L-leucine",0,0,0,0,0,1,0,0,0,0,0
"L-lysine",0,1,0,1,1,0,0,0,1,0,1
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0
"shikimate",0,0,0,0,0,0,0,0,0,0,0
"threonate",0,0,0,0,0,1,0,0,0,1,1
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,0,1,0,0
"citrate",0,0,0,0,0,1,0,0,1,0,0
