"","benzoate","dehydroascorbate (bicyclic form)","erythritol","GDP-beta;-L-fucose","glycine","L-isoleucine","L-leucine","L-lysine","L-threonine","alpha;,alpha;-trehalose","L-valine","citrate"
"benzoate",0,1,0,0,1,1,0,1,1,0,1,0
"dehydroascorbate (bicyclic form)",1,0,0,0,0,0,0,1,0,0,0,0
"erythritol",0,0,0,0,0,0,0,0,0,0,0,0
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0
"glycine",1,0,0,0,0,1,1,1,1,0,1,0
"L-isoleucine",1,0,0,0,1,0,1,1,1,0,1,1
"L-leucine",0,0,0,0,1,1,0,1,1,0,1,0
"L-lysine",1,1,0,0,1,1,1,0,1,0,1,1
"L-threonine",1,0,0,0,1,1,1,1,0,0,1,1
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,0,0,0,0,0
"L-valine",1,0,0,0,1,1,1,1,1,0,0,0
"citrate",0,0,0,0,0,1,0,1,1,0,0,0
