"","L-alanine","2-oxoglutarate","beta;-alanine","glucose_6_phosphate","inositol","maltose","L-phenylalanine","shikimate","sucrose","uracil","L-valine","L-aspartate","citrate","L-glutamine","GDP-alpha;-D-mannose"
"L-alanine",0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"2-oxoglutarate",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"beta;-alanine",0,0,0,1,0,0,1,0,1,0,1,1,1,1,0
"glucose_6_phosphate",1,1,1,0,0,1,1,0,0,1,1,1,0,1,0
"inositol",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"maltose",0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"L-phenylalanine",1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sucrose",0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"uracil",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
"L-valine",1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
"L-aspartate",0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"citrate",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"L-glutamine",0,0,1,1,0,0,1,0,1,0,1,1,1,0,0
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
