"","dehydroascorbate (bicyclic form)","GDP-beta;-L-fucose","Glycerate_3_Phosphate","inositol","L-leucine","L-lysine","maltitol","maltose","L-methionine","shikimate","threonate","L-valine","fructose","L-glutamate","D-threo-isocitrate","GDP-alpha;-D-mannose"
"dehydroascorbate (bicyclic form)",0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glycerate_3_Phosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inositol",1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"L-leucine",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"L-lysine",1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"maltitol",0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"maltose",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"L-methionine",1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"threonate",1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
"L-valine",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"fructose",0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
"L-glutamate",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"D-threo-isocitrate",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"GDP-alpha;-D-mannose",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
