"","L-arginine","L-asparagine","alpha;-tocopherol","fumarate","gaba","D-gluconate","glucose_6_phosphate","glycerol","glycine","(S)-malate","L-serine","uracil","L-aspartate","citrate","fructose","GDP-alpha;-D-mannose","phosphate"
"L-arginine",0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1
"L-asparagine",1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fumarate",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"gaba",1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1
"D-gluconate",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"glucose_6_phosphate",1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1
"glycerol",1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
"glycine",1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1
"(S)-malate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-serine",1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
"uracil",0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
"L-aspartate",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"citrate",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"fructose",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"GDP-alpha;-D-mannose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"phosphate",1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
