"","L-arginine","L-asparagine","alpha;-tocopherol","benzoate","L-cysteine","GDP-beta;-L-fucose","fumarate","UDP-alpha;-D-galacturonate","D-gluconate","inositol","L-phenylalanine","shikimate","sucrose","threonate","alpha;,alpha;-trehalose","L-tyrosine","L-valine","citrate"
"L-arginine",0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1
"L-asparagine",1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1
"alpha;-tocopherol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"benzoate",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"L-cysteine",1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fumarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"D-gluconate",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"inositol",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"L-phenylalanine",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sucrose",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"threonate",1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
"alpha;,alpha;-trehalose",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"L-tyrosine",1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
"L-valine",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"citrate",1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
